actors,categories,comments,description,director,image_paths,image_urls,images,points,rank,title,year
,,63259,1947年，年轻有为的大银行副总裁安迪（蒂姆·罗宾斯 饰）因涉嫌枪杀妻子和与之偷情的高尔夫球教练被判处两个无期徒刑，他将在..,,full/1b963aee2bceabe32c7cd53baf29a93ee0de8aa8.jpg,http://img31.mtime.cn/mt/2014/03/07/123549.37376649_96X128.jpg,,9.2,1,肖申克的救赎 The Shawshank Redemption (1994),1994
,,70234,本片被定义为“发生在意识结构内的当代动作科幻片”，诺兰继《黑暗骑士》后再次给我们带来惊喜，带观众游走于梦境与现实之间。,,full/cd7e9d3ff937e1e70a434725f6360d2b34613b56.jpg,http://img31.mtime.cn/mt/2014/01/06/105446.89493583_96X128.jpg,,9.1,2,盗梦空间 Inception (2010),2010
,,52301,他是一个占据着成年人躯体的幼童、一个圣贤级的傻子、一个超越真实的普通人、一个代表着民族个性的小人物。,,full/0c18abadca377fcae2bcf8c2b14a57bd71b89365.jpg,http://img31.mtime.cn/mt/2014/06/17/145457.44209161_96X128.jpg,,9.1,3,阿甘正传 Forrest Gump (1994),1994
,,24527,德国投机商人辛德勒为了赚钱，在自己的工厂中使用廉价的犹太人。面对纳粹的屠杀，辛德勒开始想法保护尽可能多的犹太人。,,full/2d631d31f37fc9babd2b6b5235af1b83dce1b8ed.jpg,http://img31.mtime.cn/mt/2013/11/29/102947.25583478_96X128.jpg,,9.1,4,辛德勒的名单 Schindler's List (1993),1993
,,22213,1945年夏天，美国本部黑手党科莱昂家族首领，“教父”维托·唐·科莱昂为小女儿康妮举行了盛大的婚礼。“教父”有三个儿子：好..,,full/661c8f4ffce55ba584178a92bc89b412e7339832.jpg,http://img31.mtime.cn/mt/2013/12/23/133539.17727433_96X128.jpg,,9.1,5,教父 The Godfather (1972),1972
,,8171,日本的太地町是一个风光秀丽的美丽海湾，然而每年这里有23000头海豚被日本渔民捕杀。本片对这一残忍的行为进行谴责。,,full/658ff60cdba0f0af0e08071a48e0aef6a19746f2.jpg,http://img31.mtime.cn/mt/2016/07/28/145303.88789702_96X128.jpg,,9.1,6,海豚湾 The Cove (2009),2009
,,52798,WALL·E已经在地球上孤独地生活几百年了，他爱上了自己遇见的第一个机器人伊芙，并跟随着她展开了一场充满奇幻的太空之旅。,,full/863ecc9030a0843c0fd2a54fe82b64d6d5b9a886.jpg,http://img31.mtime.cn/mt/2013/11/20/172527.42989246_96X128.jpg,,9.0,7,机器人总动员 WALL·E (2008),2008
,,51924,本片是吕克·贝松在好莱坞执导的第一部作品，非同一般的剧情、人物的精彩演出及出色的配乐使其成为九十年代动作片的经典之作。,,full/50001ab0fd4d4f46c07397a29e1d09cc279f5c96.jpg,http://img31.mtime.cn/mt/2014/09/12/102734.13658001_96X128.jpg,,9.0,8,这个杀手不太冷 Léon (1994),1994
,,31872,继续以拯救生命、打击犯罪为己任的“蝙蝠侠”，遭遇到了最具威胁性的对手“小丑”，一个喜欢将自己的脸上涂满了油彩的犯罪专家。,,full/a4e2cfcaabad3c5f89e0300bfe28f30913707ac0.jpg,http://img31.mtime.cn/mt/2014/02/23/035905.95742424_96X128.jpg,,9.0,9,蝙蝠侠：黑暗骑士 The Dark Knight (2008),2008
,,30746,影片围绕两个京剧艺人半个世纪的悲欢离合，展现了对传统文化、人的生存状态及人性的思考与领悟。,,full/7630ce8a71b7bacff8372980544f5bb7556686f9.jpg,http://img31.mtime.cn/mt/2014/03/12/145818.13256925_96X128.jpg,,9.0,10,霸王别姬 Farewell My Concubine (1993),1993
,,9280,从某种角度来看，影片就是姜文的“成人仪式”，在这个仪式过后，彻底确立了姜文作为一个才情卓绝的导演的独特地位。,,full/e16d91b5e595dfac3de323e110a4fb3bc4b9da72.jpg,http://img31.mtime.cn/mt/2014/02/22/230610.79698700_96X128.jpg,,8.5,91,阳光灿烂的日子 In the Heat of the Sun (1994),1994
,,8488,影片改编自巴西作家帕洛林的同名小说，精彩呈现了跨越1960年到1980年，巴西里约卫星城贫民区的黑街帮派犯罪实录。,,full/3407fca224f0c485d2b5b544fdcefc8049565b55.jpg,http://img31.mtime.cn/mt/2014/02/22/225818.35067028_96X128.jpg,,8.5,92,上帝之城 City of God (2002),2002
,,8329,时间是1984年，地点是在东德柏林，每一次的开头字幕出现的是“公开化无处不在”。全东德百姓被一百万史塔西秘密警察控制着，还..,,full/92b985314c6301412d0b66bf9182a3a64328fec2.jpg,http://img31.mtime.cn/mt/2014/02/23/032927.46582257_96X128.jpg,,8.5,93,窃听风暴 Das Leben der Anderen (2006),2006
,,7688,24岁的理想主义青年克里斯托佛义无反顾的前往荒蛮之地阿拉斯加，将挑战极限的生存方式一直坚持到生命的最后一刻。,,full/5135dec44aa5c084e6aa65b63131800d86eb90db.jpg,http://img31.mtime.cn/mt/2014/07/16/105315.54085005_96X128.jpg,,8.5,94,荒野生存 Into the Wild (2007),2007
,,7385,男人之间的爱情，无论是感情的起浮波折还是调情、斗气和男女之间的爱情一样炽烈感人，十分纯真，完全摆脱了性别枷锁。,,full/11be8065f032810c93e7597978efe748aaaac6e3.jpg,http://img31.mtime.cn/mt/2014/02/22/224231.28364958_96X128.jpg,,8.5,95,春光乍泄 Happy Together (1997),1997
,,6879,改编自史蒂芬·金畅销小说，影片一脉相承了导演达拉邦特前作《肖申克的救赎》里体现的思想精髓，那就是希望无处不在。,,full/826a2821848e08f9a4cb4d46fdb2b287e2618ceb.jpg,http://img31.mtime.cn/mt/2014/02/22/225236.32859555_96X128.jpg,,8.5,96,绿里奇迹 The Green Mile (1999),1999
,,6529,本片为1988年戛纳影展的开幕大片，描述个人难以融入现实社会的困境中，因此转而寻找梦想中的另一种生活，带著浓厚的自传色彩。,,full/980a8cf1e99b524b200100f83460c5956816b237.jpg,http://img31.mtime.cn/mt/2015/04/08/151752.10498184_96X128.jpg,,8.5,97,碧海蓝天 Le Grand Bleu (1988),1988
,,6280,《出租汽车司机》是斯科西斯最具里程碑意义的一部作品，影片所蕴涵的现实意义和深刻思想足以被列为世界百年电影中的极品。,,full/9d32de9aa963b8f5125364a97efa32ab689a17c7.jpg,http://img31.mtime.cn/mt/2014/02/22/224222.52138134_96X128.jpg,,8.5,98,出租车司机 Taxi Driver (1976),1976
,,6224,在《日出之前》过去九年后，杰西和塞琳娜在巴黎重逢。两人将在这里共度一个下午，在日落之前他们会做出怎样的决定？,,full/c6a8eb10dcc8ba25e2c23a5ca713facd4a00dc2b.jpg,http://img31.mtime.cn/mt/2014/02/22/234917.63150133_96X128.jpg,,8.5,99,爱在日落黄昏时 Before Sunset (2004),2004
,,6127,两位旅人，从素不相识到眼光交融，如同旧时的王子和他的灰姑娘，本只有一夜的宿命却因为他的大胆邀约，她的欣然允答得以了延续..,,full/d8eff7bb2d465cde7239c8f3ed2a9407d96b5c2e.jpg,http://img31.mtime.cn/mt/2015/01/26/141827.42841057_96X128.jpg,,8.5,100,爱在黎明破晓前 Before Sunrise (1995),1995
,,20124,影片讲述了一个女芭蕾舞演员的故事，从许多方面看，这部电影都是艺术家对自我世界的一次探索，为了完美而不惜一切代价。,,full/02d8f7322e44ec177133e2a508ecf18a3c595cb6.jpg,http://img21.mtime.cn/mt/2010/11/17/093405.85766396_96X128.jpg,,8.5,81,黑天鹅 Black Swan (2010),2010
,,20104,维京小男孩小嗝嗝一直梦想着能像父辈那样屠龙，他击落了一条小龙，却最终和小龙成了朋友，他的世界也从此彻底改变。,,full/5d74f98e01d883e9e02db369d718a5583e75de6d.jpg,http://img31.mtime.cn/mt/2014/03/13/101557.45115810_96X128.jpg,,8.5,82,驯龙高手 How to Train Your Dragon (2010),2010
,,17750,威利在临终的父亲身旁，根据父亲讲述的那些经历虚构他所度过的光辉岁月。在这个过程中，威尔渐渐体会到父亲当时的心情……,,full/8b491d967d3cd9dc74c9cce9d73df1b1b9ce60ef.jpg,http://img31.mtime.cn/mt/2013/11/27/102640.36705068_96X128.jpg,,8.5,83,大鱼 Big Fish (2003),2003
,,14757,联邦调查局见习特工克拉丽斯为了解变态杀人犯“野牛比尔”的的特殊心理，与精神变态的精神病专家汉尼拔博士进行接触。,,full/dc54b15bbc7a175e4c620b02abfed28c79540295.jpg,http://img31.mtime.cn/mt/2013/12/27/155600.64678027_96X128.jpg,,8.5,84,沉默的羔羊 The Silence of the Lambs (1991),1991
,,13928,影片根据著名作家阿兰·摩尔的同名绘本小说改编，故事发生在虚构的未来，德国赢得了二次大战，英国成为极权国家。一个代号..,,full/a02a5940f6d153b37c67053231299d10c980c076.jpg,http://img31.mtime.cn/mt/2014/02/23/013251.13840945_96X128.jpg,,8.5,85,V字仇杀队 V for Vendetta (2005),2005
,,12445,数学家纳什读研究生时就发现了著名的博弈论，但却受到了精神分裂症的困扰。他在妻子艾丽西亚的相助下顽强抗争，并获诺贝尔奖。,,full/b03d668c0951443e9d8c811ec1a29340b92952e0.jpg,http://img31.mtime.cn/mt/2014/02/22/225340.28990943_96X128.jpg,,8.5,86,美丽心灵 A Beautiful Mind (2001),2001
,,7249,高高的天空中有一群云朵，他们像女娲一样捏出一个个小婴儿，让送子鹳带入千家万户。而他们之中有一朵忧伤的“阴云”Gus，他总..,,full/7c2855bcbb5495ac1f91b861e4dbc483491b458f.jpg,http://img31.mtime.cn/mt/2014/02/23/073659.56693087_96X128.jpg,,8.8,31,暴力云与送子鹳 Partly Cloudy (2009),2009
,,98509,一名年轻的网络黑客尼奥发现看似正常的现实世界实际上是由一个名为“矩阵”的计算机人工智能系统控制的。尼奥在一名神秘女郎崔..,,full/73b4af310bdf9ff802fc013c1da57ad668810c43.jpg,http://img31.mtime.cn/mt/2014/03/25/152146.76048887_96X128.jpg,,8.7,32,黑客帝国 The Matrix (1999),1999
,,11225,本片是昆汀向经典西部片的致敬之作，姜戈是一名获得了自由的黑人奴隶，在一名德国裔赏金猎人的帮助下，决心将妻子解救出来。,,full/23bd09037576da82e14c94a76012b2daf17afa79.jpg,http://img31.mtime.cn/mt/2014/01/10/095325.27597389_96X128.jpg,,8.5,87,被解救的姜戈 Django Unchained (2012),2012
,,10410,影片改编自凑佳苗的同名处女作小说，故事涉及校园欺凌、未成年人杀害儿童、个人复仇等冲击性内容，导演是视觉系中岛哲也。,,full/648e417e394253fe9f1b842bc67d7914a1ffa2e6.jpg,http://img31.mtime.cn/mt/2014/02/23/082621.99364976_96X128.jpg,,8.5,88,告白 Confessions (2010),2010
,,10195,一名退伍军人，因为厌恶杀戮，带着三个儿子在蒙大拿的乡野过着牧园生活。三兄弟长大后，却陷入了有违亲情的爱情之中。,,full/05fa51c0130015d264efb9235c1e0c13dc66408f.jpg,http://img31.mtime.cn/mt/2014/02/22/232245.78303334_96X128.jpg,,8.5,89,燃情岁月 Legends of the Fall (1994),1994
,,23155,本片背景为神秘的史前时代，是一场正邪较量引发的长篇故事，而拯救世界的危险任务则落在年轻的哈比族人弗罗多·巴金斯的身上。,,full/44803231db3998ce7aa8594cc2c9993ffde261a3.jpg,http://img5.mtime.cn/mt/2016/12/30/160932.10422493_96X128.jpg,,8.7,33,魔戒首部曲：魔戒现身 The Lord of the Rings: The Fellowship of the Ring (2001),2001
,,17898,世界著名指挥家皮埃尔·莫安琦(雅克·贝汉 饰)重回法国故地出席母亲的葬礼，他的旧友(戴迪亚·费拉蒙 饰)送给他一本陈旧的日记..,,full/bc12b607760ff1c918b227c2ad1e410f4b833632.jpg,http://img31.mtime.cn/mt/2014/03/14/150514.22371181_96X128.jpg,,8.7,34,放牛班的春天 Les Choristes (2004),2004
,,12348,小狮子王辛巴在众多热情的朋友的陪伴下，不但经历了生命中最光荣的时刻，也遭遇了最艰难的挑战，最后终于成为了森林之王。,,full/5aa36c30d93f6b611766ca69a6d4c957058b4f75.jpg,http://img31.mtime.cn/mt/2014/03/15/165203.17697083_96X128.jpg,,8.7,35,狮子王 The Lion King (1994),1994
,,15025,一封寄往天国的情书，开启了两段刻骨铭心的爱情……,,full/f0ce7c11fa5c3c8062e7412e74b8256c712fc25c.jpg,http://img31.mtime.cn/mt/2014/02/22/225708.86734425_96X128.jpg,,8.6,51,情书 Love Letter (1995),1995
,,,影片故事发生在欣欣向荣的动物乌托邦，在这里各种动物和平共处。尼克·王尔德是只说话速度特别溜、有着宏图伟愿的狐狸，然而他..,,full/2f1b301550418b1869abbf7e7bdff54e349e7ab9.jpg,http://img31.mtime.cn/mt/2016/01/28/092552.17985926_96X128.jpg,,,52,疯狂动物城 Zootopia (2016),2016
,,68081,在未来世界，人类为取得潘多拉星球的资源，开启了阿凡达计划。前海军队员杰克奉命出发，然而这最终是一段探索与救赎的旅程。,,full/aed98e7cba0246fe1b543a899139f0ff6ef198c0.jpg,http://img31.mtime.cn/mt/2014/09/01/221449.48366966_96X128.jpg,,8.8,21,阿凡达 Avatar (2009),2009
,,38623,一名具有钢琴天赋的孤儿历经一切的苦难：音乐、爱情及两次大战，但他从未放弃过他生长的地方。一部荡气回肠的诗意旅程电影。,,full/1acd731595934c5eb202a42d32f86cf131a6e259.jpg,http://img31.mtime.cn/mt/2014/02/22/224651.16676731_96X128.jpg,,8.8,22,海上钢琴师 The Legend of 1900 (1998),1998
,,9528,破坏王连续30年一直在游戏世界里做反派，于是某天他决心离开自己的游戏去闯荡别的电玩世界，证明自己也可以做个英雄。,,full/3f4bfb8ecde82df77d085d55aa0ba38f10679ca8.jpg,http://img5.mtime.cn/mt/2017/02/08/122416.52755570_96X128.jpg,,8.5,90,无敌破坏王 Wreck-It Ralph (2012),2012
,,12162,小月和妹妹小梅跟着爸爸搬到郊外的一间旧屋住，在新家里发现了许多有趣的东西，包括传说中的龙猫。一天，思念妈妈的小梅决定去..,,full/6c418742e434e30329e9add058a317184b9142d4.jpg,http://img5.mtime.cn/mt/2019/02/12/093218.66620998_96X128.jpg,,8.7,36,龙猫 My Neighbor Totoro (1988),1988
,,11154,皇室公主安妮访问罗马时私自出游，与美国记者乔邂逅。乔起先是为了偷拍公主，最终却爱上了她。安妮起先厌倦皇室繁文缛节，但经..,,full/c5fb794178750fea421b6c0af28b8f14eeefc545.jpg,http://img31.mtime.cn/mt/2014/03/12/143918.49241382_96X128.jpg,,8.7,37,罗马假日 Roman Holiday (1953),1953
,,14204,一次意外的邂逅、一段性感的探戈、一出恣意的飙车和一段酣畅淋漓的演讲为我们完整地勾勒出生命从毁灭到重生的全部过程。,,full/1982415692a16dc858d06838a3453de04a0f201a.jpg,http://img31.mtime.cn/mt/2014/02/22/232355.13095445_96X128.jpg,,8.6,53,闻香识女人 Scent of a Woman (1992),1992
,,11472,本片导演手法扎实但不炫耀，布洛迪的表演是全片最大的亮点。导演和男主角均获奥斯卡奖。影片本身获戛纳金棕榈奖。,,full/ab96a84e3cd1cbaed4353132ed417ae4a8bb0e2e.jpg,http://img31.mtime.cn/mt/2014/09/06/110952.46685238_96X128.jpg,,8.6,54,钢琴家 The Pianist (2002),2002
,,11298,贝肯、汤姆、梭柏和艾迪四人欠上了帮派老大亨利一笔巨款，逾期一天就剁掉一只手指。他们会采取什么不法的手段来偿还这笔钱呢？,,full/8caf9ee7fbf0bbb49ceb06aeaac80e26794a9868.jpg,http://img31.mtime.cn/mt/2014/02/22/232203.15587159_96X128.jpg,,8.6,55,"两杆大烟枪 Lock, Stock and Two Smoking Barrels (1998)",1998
,,31324,兰乔对大学填鸭式的教育十分不满，在他的引导下，其他两个朋友也对自己的人生有了新的规划，然而毕业后，兰乔选择了消失……,,full/ecd4d301154fa080fa4ec4a12a5582bb52765884.jpg,http://img21.mtime.cn/mt/2011/11/11/142149.70599382_96X128.jpg,,8.8,23,三傻大闹宝莱坞 Three Idiots (2009),2009
,,28916,影片发生在不远的未来，地球气候已经不适合粮食生长，水资源枯竭，饥荒肆掠，人类面临着灭绝的威胁。这时科学家们发现了一个神..,,full/b82ade07bbf01be64af9e41ac0e51e139ba18d70.jpg,http://img31.mtime.cn/mt/2014/10/17/094153.86737039_96X128.jpg,,8.8,24,星际穿越 Interstellar (2014),2014
,,28893,本片为导演诺兰一手打造的“新蝙蝠侠三部曲”最终章，蝙蝠侠将遇到神秘的猫女以及戴面具的恐怖分子贝恩…,,full/cb6ded8a7fe76f746cafe578b4e0ee052045df46.jpg,http://img31.mtime.cn/mt/2015/12/09/150026.89144122_96X128.jpg,,8.8,25,蝙蝠侠：黑暗骑士崛起 The Dark Knight Rises (2012),2012
,,9747,拉比达是一座飘在空中的岛，一个以科学力量支配一切的古老帝国。在古老传说中，拉比达已无人居住，蕴藏着无限财富。,,full/eaa5ddc95dd9da59e355560182960fd3f668d48e.jpg,http://img31.mtime.cn/mt/2014/02/22/230130.33587497_96X128.jpg,,8.7,38,天空之城 Laputa: Castle in the Sky (1986),1986
,,9717,本片带有强烈的阶级观，通过讽喻和警世的象征，辛辣地讽刺现实社会中的消极现象。导演在演员的选择和处理上具有特殊的才能。,,full/f4f2d7563b7d6299465f0e456f4234f22c501dfe.jpg,http://img31.mtime.cn/mt/2014/02/22/224450.49138883_96X128.jpg,,8.7,39,飞越疯人院 One Flew Over the Cuckoo's Nest (1975),1975
,,17455,本片是为热爱电影的电影工作者、电影观众而精心制作的一部关于电影的礼赞，荣获戛纳影展特别评委奖及奥斯卡最佳外语片奖。,,full/1be4371ec8391c713e2c24f36e58aa1f50de622c.jpg,http://img31.mtime.cn/mt/2014/02/22/230204.38226096_96X128.jpg,,9.0,11,天堂电影院 Nuovo cinema Paradiso (1988),1988
,,9217,在壮丽的时代画卷上演绎出一个极不寻常的爱情故事，开创了以真实而辽阔的历史背景加虚构人物故事的爱情史诗片先河。,,full/4fbe5f48a6f2b75d964d873f9c116820fa9e8e22.jpg,http://img31.mtime.cn/mt/2013/11/08/145957.19577928_96X128.jpg,,9.0,12,乱世佳人 Gone with the Wind (1939),1939
,,9904,一群受传统教育的学生和一位反传统教育的老师之间有什么是值得深思？学生们在无助的情况下所做的决定又是什么？《死亡诗社》回..,,full/9adbf401c93e70a593c9b73efdaae8a4cc53bc00.jpg,http://img31.mtime.cn/mt/2013/12/19/114247.24944099_96X128.jpg,,8.6,56,死亡诗社 Dead Poets Society (1989),1989
